SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0,0.003886072,87,1,2.0,,5,0,0,0,0.0
0,0.032824179,54,0,0.005712612,6826.0,2,0,0,0,0.0
0,0.041226865,64,0,0.322838137,4509.0,3,0,0,0,1.0
0,0.234707412,51,0,0.670241287,3356.0,16,0,2,0,0.0
0,0.017929421,69,0,0.159284072,10000.0,13,0,1,0,0.0
0,0.072869021,67,0,0.408794079,6890.0,12,0,2,0,1.0
0,0.632252617,40,0,0.589927169,8100.0,8,0,2,0,2.0
0,0.010998331,38,0,0.549368143,7200.0,13,0,2,0,0.0
0,0.062257238,63,0,2119.0,,3,0,1,0,
0,0.02978627,79,0,216.0,,12,0,1,0,
0,0.037410945,34,0,0.078970081,6951.0,8,0,0,0,0.0
0,0.031414049,74,0,0.001979129,5557.0,6,0,0,0,0.0
0,0.02236689,79,0,32.0,,6,0,0,0,0.0
0,0.035943044,29,0,0.012098895,1900.0,5,0,0,0,0.0
0,0.173813715,49,2,0.185893775,3501.0,14,0,0,0,3.0
0,0.0,39,0,414.0,,3,0,0,0,
0,0.819027921,27,0,0.014197161,5000.0,2,0,0,1,0.0
0,0.081538198,61,0,0.528384279,2518.0,8,0,1,0,0.0
0,0.081145943,67,0,47.0,,2,0,0,0,0.0
0,0.02965144,75,0,0.836095764,542.0,14,0,0,0,0.0
0,0.060513223,65,0,0.106973874,14582.0,5,0,1,0,3.0
0,0.013892609,60,0,0.800640228,11245.0,26,0,8,0,0.0
0,0.034989963,58,0,119.0,,7,0,0,0,0.0
0,0.297357988,55,3,0.227577242,10000.0,8,0,1,0,0.0
0,0.627890802,27,1,0.053973013,2000.0,3,0,0,0,0.0
0,0.042873229,55,0,0.587140675,7200.0,7,0,1,0,1.0
0,1.024765421,64,3,0.452886248,2355.0,8,0,1,0,0.0
0,0.076100405,63,0,0.457631649,3740.0,9,0,1,0,1.0
0,0.003088144,41,0,0.000181818,10999.0,5,0,0,0,3.0
0,0.015490672,64,1,1034.0,,7,0,1,0,0.0
0,0.036671782,63,0,0.30102745,6520.0,5,0,1,0,2.0
0,0.028518826,64,0,23.0,,11,0,0,0,
0,0.216543525,38,0,0.532697548,2201.0,13,0,0,0,0.0
0,0.036784759,60,0,0.275944811,5000.0,19,0,1,0,1.0
0,0.766710253,58,0,0.36028953,8012.0,5,0,1,1,4.0
0,0.039973197,41,0,0.383009359,4166.0,5,0,1,0,3.0
0,0.020267798,31,0,0.073619632,325.0,2,0,0,0,0.0
0,0.03191751,50,0,0.00461503,13000.0,4,0,0,0,2.0
0,0.249961539,40,0,0.697234807,6400.0,8,0,2,0,0.0
0,0.441315879,59,0,0.524111388,8833.0,12,0,1,0,2.0
0,0.874334911,49,4,2146.0,,9,4,1,0,0.0
1,1.405315615,35,1,0.186026936,4751.0,4,0,0,0,0.0
0,0.037921893,80,0,72.0,,13,0,0,0,0.0
0,0.016463331,50,0,0.068149096,6250.0,6,0,1,0,0.0
0,0.097406035,27,0,0.042046807,2520.0,7,0,0,0,0.0
0,0.065645594,56,1,0.275246393,7000.0,19,0,1,0,0.0
0,0.010577377,51,0,847.0,,11,0,1,0,0.0
0,0.010851591,79,1,0.005387535,8166.0,16,0,0,0,0.0
0,0.092550526,43,0,0.363772705,6000.0,7,0,2,0,2.0
0,0.085776935,57,0,2.186511241,1200.0,11,0,1,0,0.0
0,0.287628071,52,0,0.389935011,6000.0,11,0,2,0,2.0
0,0.9999999,50,1,0.292784536,6000.0,4,0,1,0,2.0
0,0.162259205,67,0,1505.0,,9,0,1,1,1.0
0,0.89040932,56,0,1.946923077,1299.0,10,0,1,0,1.0
0,0.081930223,71,0,0.014661848,9684.0,5,0,0,0,0.0
0,0.405599762,38,0,0.334675739,7200.0,6,0,1,0,2.0
0,0.153916073,75,0,0.058797194,6700.0,5,0,0,0,1.0
0,0.048154048,63,0,12614.0,,20,0,9,0,0.0
0,0.801927817,62,0,0.542357189,10800.0,15,0,2,0,1.0
0,0.555892154,34,1,0.540229885,2000.0,5,1,0,1,0.0
0,0.153076938,35,0,0.261859793,9000.0,8,0,1,0,0.0
0,0.935953351,60,0,1.124352332,4631.0,25,0,1,0,1.0
0,0.24995001,66,0,0.175461231,7750.0,13,0,1,0,0.0
0,0.019608745,34,0,0.052139623,6846.0,7,0,0,0,0.0
0,0.162004577,37,0,0.324525786,16500.0,18,0,3,0,3.0
0,0.084686518,48,0,0.392967942,2900.0,7,0,2,0,1.0
0,0.012441823,56,0,0.352477726,13580.0,9,0,3,0,1.0
1,0.9999999,43,98,0.0,,0,98,0,98,0.0
0,0.069998272,75,0,0.246176256,1372.0,10,0,1,0,0.0
0,0.045305589,58,0,0.131988397,7583.0,12,0,1,0,2.0
0,0.683663267,68,1,0.645,2199.0,7,0,1,0,0.0
0,0.11138879,75,0,0.263903353,4800.0,11,0,1,0,0.0
0,0.055831472,60,0,0.21440846,7564.0,6,0,1,0,1.0
0,0.9301796,48,0,0.65338465,8833.0,9,0,2,0,1.0
0,0.439483781,32,1,0.050827423,3383.0,8,0,0,0,0.0
0,0.9999999,49,0,1284.0,,4,0,2,0,0.0
0,0.201665781,66,1,0.674497622,10300.0,13,0,7,0,0.0
0,0.012564671,60,0,0.51995667,12000.0,6,0,4,0,1.0
0,0.009901315,80,0,717.0,,11,0,2,0,0.0
0,18.0,64,0,1428.0,,4,0,1,0,
0,0.006063581,58,0,1512.0,,21,0,1,0,0.0
0,0.008000901,41,0,1.490339773,1500.0,38,0,1,0,0.0
0,0.9999999,50,0,0.035926273,3200.0,5,0,0,0,1.0
0,0.380152128,61,0,8268.0,,25,0,7,0,0.0
0,0.087687415,65,2,0.134480417,4416.0,9,0,0,0,0.0
0,0.454289669,71,0,0.742154368,2357.0,5,0,1,0,0.0
0,0.00384745,61,0,0.238521247,7600.0,11,0,1,0,0.0
0,0.28238823,45,0,0.323256751,2480.0,6,0,0,0,0.0
0,0.9999999,78,0,0.000499917,6000.0,4,0,0,0,0.0
0,0.008848013,47,0,14.0,,5,0,0,0,0.0
0,0.036276458,58,2,0.26897932,7494.0,30,0,1,1,1.0
0,0.045138693,78,0,23.0,,5,0,0,0,0.0
0,0.002066598,64,0,925.0,,4,0,1,0,0.0
0,0.11543633,54,0,0.263571991,8896.0,13,0,1,0,0.0
0,0.028626011,31,0,0.063437338,5800.0,7,0,0,0,0.0
0,0.9999999,49,0,0.147952444,5298.0,1,0,0,0,0.0
0,0.359724542,47,0,0.342283503,4133.0,9,0,1,0,2.0
0,0.906761655,38,0,0.065499547,3312.0,1,0,0,0,0.0
0,0.9999999,32,1,0.167772861,2711.0,1,1,0,0,2.0
0,0.051983852,61,0,0.23888741,7513.0,10,0,2,0,0.0
0,0.05339123,31,0,992.0,,11,0,1,0,0.0
1,0.9999999,32,0,439.0,,1,0,0,0,3.0
1,0.9999999,47,1,0.517038008,3051.0,4,2,1,0,0.0
0,0.016133486,60,0,0.349783862,5551.0,10,0,1,0,0.0
0,0.841395009,35,0,2457.0,,7,0,1,0,0.0
0,0.165858987,50,0,0.103452339,8486.0,9,0,0,0,0.0
0,0.517291112,41,0,0.158148063,8725.0,5,0,0,0,4.0
0,0.224824485,53,1,0.440409534,6250.0,7,0,1,0,3.0
0,0.14261218,57,0,0.454645814,5434.0,16,0,2,0,1.0
0,0.229057399,27,0,0.220259913,3000.0,10,0,0,0,0.0
0,0.019181951,71,0,0.080183963,5000.0,11,0,0,0,0.0
0,0.453895579,45,0,0.098123654,3250.0,4,0,0,0,0.0
0,0.033056879,60,0,0.105357601,3900.0,7,0,0,0,1.0
0,0.9999999,53,0,62.0,,0,1,0,0,0.0
0,0.05924717,64,0,1571.0,,12,0,1,0,0.0
0,0.089540049,52,0,0.197916667,7583.0,7,0,2,0,2.0
1,0.9999999,44,0,1.09310889,1900.0,1,3,1,0,0.0
0,0.9999999,45,0,0.472704715,4835.0,6,0,2,0,1.0
0,0.9999999,46,0,2735.0,,2,0,1,0,0.0
0,0.028457373,72,0,322.0,,8,0,1,0,0.0
0,0.806108536,32,0,0.224173251,3416.0,5,0,0,0,3.0
0,0.005094019,26,0,0.242973708,3308.0,9,0,2,0,1.0
1,0.9999999,44,0,0.692362598,1400.0,3,1,1,0,2.0
0,0.965451197,36,1,0.298671618,7000.0,5,0,0,0,4.0
0,0.135572885,38,0,0.325224551,2671.0,2,0,1,0,0.0
0,0.0,42,0,0.274788703,4850.0,6,0,1,0,3.0
0,0.25652264,85,2,0.26154769,5000.0,14,0,1,0,1.0
0,0.0,55,0,0.296536277,12500.0,13,0,2,0,0.0
0,0.351305269,62,0,0.283710814,13333.0,14,0,2,0,1.0
0,0.109910974,42,0,0.363917207,3236.0,10,0,1,0,0.0
0,0.708676377,38,0,2471.0,,7,0,1,0,0.0
0,0.0002303,57,0,49.0,,7,0,0,0,
0,0.134354198,51,0,0.478443214,5960.0,5,0,1,0,1.0
0,0.36963037,43,0,0.016393443,670.0,1,0,0,0,0.0
0,0.047973224,31,0,0.523743405,3600.0,8,0,1,0,0.0
0,0.025149103,76,0,1670.0,,26,0,1,0,0.0
0,0.51089782,67,0,0.046761047,2330.0,5,0,0,0,0.0
0,0.15689036,41,0,0.288871113,10000.0,4,0,1,0,0.0
0,7696.0,55,0,0.178210764,8416.0,3,0,1,0,0.0
0,0.066533621,61,0,0.401677968,8700.0,9,0,2,0,0.0
0,0.18392947,51,0,1697.0,,5,0,1,0,
0,0.317172045,34,0,1.016348774,1100.0,9,0,0,0,1.0
1,0.327787022,38,0,0.531893621,5000.0,6,0,1,1,4.0
0,0.237571197,84,0,0.380680966,6666.0,8,0,1,0,0.0
0,0.0394918,62,0,0.635815837,10620.0,8,0,2,0,0.0
0,0.0,43,0,0.306639839,2484.0,4,0,0,0,0.0
0,0.048756098,37,0,0.007383479,6500.0,4,0,0,0,0.0
0,0.003264992,63,0,0.21397147,7500.0,11,0,2,0,1.0
0,0.182801563,50,3,1987.0,,5,0,1,1,2.0
0,0.591604068,36,0,0.413742956,5500.0,7,0,2,0,2.0
0,0.296820966,40,0,0.128916145,7500.0,11,0,0,0,0.0
0,0.07286655,58,0,0.409624713,7833.0,4,0,1,0,2.0
0,0.171625962,27,0,0.200933022,3000.0,7,0,0,0,0.0
0,0.844244153,50,0,0.263090044,10083.0,10,0,1,0,3.0
0,0.754463648,39,0,0.209940017,3500.0,8,0,0,0,0.0
1,1.058159802,48,8,3082.0,,11,1,2,2,0.0
0,0.9999999,22,0,130.0,,0,0,0,0,
0,0.914929673,69,0,0.219431593,3025.0,2,0,0,0,1.0
0,0.00027827,71,2,0.0,10500.0,10,0,0,0,0.0
0,0.9999999,27,0,0.112265416,2983.0,1,2,0,0,2.0
0,0.911566971,65,1,0.255547769,4280.0,5,0,1,0,1.0
0,0.061432816,35,0,0.370866021,6500.0,11,0,1,0,0.0
0,0.01510574,49,0,779.0,,6,0,2,0,0.0
0,0.020132662,48,0,0.078732292,11011.0,5,0,1,0,1.0
0,0.0,59,0,899.0,,4,0,1,0,
0,0.214500617,52,0,0.378473754,6800.0,15,0,1,0,2.0
0,0.305222241,34,0,0.257254806,8166.0,10,0,2,0,0.0
0,0.9999999,87,0,0.0,3228.0,4,0,0,0,0.0
0,0.325415101,37,2,0.014550746,5497.0,2,0,0,0,2.0
0,0.007314613,60,0,470.0,,9,0,0,0,0.0
0,0.074878029,60,0,795.0,,21,0,0,0,0.0
0,0.22576166,56,1,0.350464116,8833.0,27,0,2,1,1.0
0,5118.0,29,0,0.667349552,3904.0,5,0,2,0,3.0
0,0.71746629,49,0,0.417577042,6132.0,11,0,1,0,0.0
0,0.405956536,50,0,0.58445668,15800.0,33,0,5,0,2.0
0,0.049948623,62,0,0.178896786,9988.0,4,0,1,0,1.0
0,0.05361034,65,0,1318.0,,4,0,1,0,0.0
0,0.033461782,44,0,1.243362832,4067.0,5,0,2,0,1.0
0,0.20870647,59,0,0.378455592,11900.0,13,0,2,1,0.0
0,0.161825835,62,0,0.421047043,9416.0,18,0,2,0,1.0
0,0.005076728,85,0,0.001295896,2314.0,4,0,0,0,0.0
0,0.790650334,49,0,0.358765366,7483.0,3,0,1,0,2.0
0,0.880239982,41,0,1290.0,,6,0,0,0,2.0
1,0.214494347,54,2,2792.0,,15,0,2,0,0.0
0,0.028383888,91,0,0.00846588,3897.0,3,0,0,0,0.0
0,0.0,64,0,0.248011519,14583.0,7,0,2,0,0.0
0,0.111714374,86,0,97.0,,4,0,0,0,0.0
0,0.17708286,40,0,0.080538133,11000.0,2,0,0,0,3.0
0,0.339016131,54,0,0.268582419,8838.0,9,0,2,0,1.0
0,0.401918543,40,0,148.0,,2,0,0,0,0.0
0,0.272846608,52,3,0.40078764,3300.0,16,0,2,0,2.0
0,0.9999999,37,0,0.0,,1,1,0,0,0.0
0,0.028825435,65,2,0.219471554,8401.0,15,0,1,0,0.0
0,0.085869194,45,1,0.483839752,5166.0,6,0,1,0,1.0
0,0.095599245,48,0,1948.0,,22,0,2,0,2.0
0,0.765327167,58,0,886.0,,5,0,0,0,0.0
0,0.020374491,58,0,0.355869242,6729.0,9,0,1,0,2.0
0,0.003576854,86,0,4.0,,5,0,0,0,0.0
0,0.102288297,53,0,1653.0,,6,0,1,0,0.0
0,0.019999206,55,0,14.0,,4,0,0,0,
0,0.006224922,53,0,0.226361449,13716.0,14,0,2,0,1.0
0,0.241254328,62,0,223.0,,6,0,0,0,1.0
0,0.765234765,27,0,0.172839506,2348.0,2,0,0,0,0.0
1,0.898362283,35,0,0.193307559,7500.0,5,0,1,0,1.0
0,0.036120485,58,0,0.00119994,6666.0,2,0,0,0,1.0
0,0.141987092,36,0,0.042435424,1083.0,3,0,0,0,0.0
0,0.105415569,43,0,0.244866628,5210.0,11,0,1,0,0.0
0,0.08191257,63,0,0.397891534,9200.0,18,0,2,0,2.0
0,0.00644652,39,1,1422.0,0.0,7,0,1,0,2.0
0,0.142285771,41,0,0.393537034,6250.0,4,0,2,0,0.0
0,0.537055098,67,0,0.437026015,20833.0,13,0,2,0,1.0
0,0.582045331,34,0,0.081007115,7307.0,5,0,0,0,2.0
0,0.033647568,53,0,0.074906367,800.0,14,0,0,0,0.0
0,0.871294474,55,0,0.539213974,5724.0,8,0,2,0,0.0
0,0.030318669,77,0,0.431698531,3608.0,7,0,2,0,0.0
0,0.025284811,66,0,31.0,,4,0,0,0,0.0
0,0.051329056,57,0,0.048915551,2166.0,5,0,0,0,3.0
0,0.181771987,63,0,0.345126221,5426.0,11,0,1,0,1.0
0,0.124635015,50,2,0.310473016,7800.0,7,0,2,0,2.0
0,0.026599391,62,0,0.074071225,13000.0,9,0,1,0,1.0
0,0.08293358,47,1,0.232316697,34000.0,7,0,2,0,4.0
0,0.0,71,0,0.000134048,7459.0,5,0,0,0,0.0
0,0.80141844,28,1,0.196267911,3000.0,5,0,0,2,0.0
0,0.046260499,54,0,0.263211189,15800.0,4,0,1,0,2.0
0,0.082073766,78,0,63.0,,7,0,0,0,0.0
0,0.008876155,59,0,0.084743083,6324.0,7,0,1,0,1.0
0,0.035964036,23,0,0.001218027,820.0,3,0,0,0,0.0
0,0.405478201,60,0,0.443450345,19000.0,20,0,2,0,1.0
0,0.042096433,72,0,0.041620422,1801.0,8,0,0,0,0.0
0,0.390221489,61,0,5553.0,,24,0,4,0,3.0
0,0.680933162,33,0,0.711881353,6000.0,11,0,2,0,0.0
0,0.206338218,51,0,160.0,,5,0,0,0,0.0
0,0.0,62,0,16.0,,1,0,0,0,0.0
0,0.038791721,38,0,19.25925926,107.0,7,0,3,0,2.0
1,0.9999999,35,0,179.0,,1,3,0,0,4.0
0,0.26926244,43,0,0.245365549,4800.0,6,0,1,0,1.0
0,0.9999999,29,0,0.0,820.0,1,0,0,0,0.0
0,0.04833117,45,0,2488.0,,7,0,2,0,2.0
0,0.9999999,47,1,0.283988335,7200.0,10,0,2,0,3.0
0,0.61342054,38,0,0.406455298,3500.0,11,0,0,0,3.0
0,0.098409011,48,0,6698.0,,11,0,7,0,1.0
0,0.009925742,76,0,0.00509898,3333.0,15,0,0,0,0.0
0,0.055603174,60,0,0.33235145,41416.0,15,0,5,0,2.0
0,0.198958528,59,1,0.208855823,16666.0,5,0,2,0,1.0
0,0.905261842,26,0,0.313340228,2900.0,3,0,0,0,0.0
0,0.698878904,48,0,0.395500341,13200.0,15,0,2,0,1.0
0,0.235418915,50,0,0.479480675,6700.0,16,0,1,0,1.0
0,0.050122535,42,1,0.273399843,8920.0,7,0,1,0,2.0
0,0.0,53,0,0.110206929,4300.0,14,0,0,0,2.0
0,0.017533571,62,0,0.108673777,4968.0,15,0,1,0,0.0
0,0.162052217,34,0,0.416633347,2500.0,7,0,0,0,0.0
0,0.002470298,60,0,1.753948039,1962.0,14,0,2,0,0.0
0,0.00735472,51,0,0.222398682,17000.0,9,0,2,0,1.0
0,0.300673987,59,0,0.446592235,6000.0,8,0,1,0,2.0
0,0.666359022,31,0,0.127971562,4500.0,5,0,0,0,0.0
0,0.010412218,69,0,0.313537293,5000.0,19,0,2,0,0.0
0,0.007522621,67,0,0.341010207,3820.0,15,0,2,0,1.0
0,0.9999999,62,0,34.0,,0,0,0,0,0.0
0,0.07458531,63,0,0.022391044,2500.0,4,0,0,0,0.0
0,0.006478691,55,0,0.572272476,5416.0,15,0,1,0,0.0
0,0.001194411,79,0,1.0,,3,0,0,0,0.0
0,0.841087826,53,2,0.25861931,12500.0,8,0,2,0,1.0
0,0.0,59,0,0.381032797,11250.0,15,0,2,0,0.0
0,0.003071209,68,0,0.001824818,547.0,8,0,0,0,0.0
0,0.0,42,0,0.539134662,2056.0,5,0,0,0,3.0
0,0.945152985,28,2,0.253880558,3800.0,7,0,0,0,1.0
0,0.0,72,1,0.142169245,12667.0,9,0,2,0,0.0
0,0.377124899,44,0,0.182742592,6883.0,4,0,1,0,2.0
0,0.033587848,82,0,0.023992003,3000.0,5,0,0,0,0.0
0,0.157286217,57,0,0.553658949,5916.0,25,0,2,0,1.0
0,0.078544752,36,0,208.0,,9,0,0,0,0.0
0,0.938106189,46,1,0.215464089,6000.0,11,0,0,0,2.0
0,0.340786969,57,0,0.356386456,7648.0,11,0,2,0,1.0
0,0.166166767,55,0,0.535011355,5283.0,9,0,1,0,0.0
0,3.32e-05,70,0,0.193499622,2645.0,11,0,0,0,0.0
0,0.0024724,50,0,926.0,,7,0,0,0,0.0
0,0.424287768,63,0,0.448775527,11800.0,16,0,2,3,2.0
0,0.0,56,0,3182.0,,24,0,2,0,0.0
0,0.723579467,37,0,0.224520309,8025.0,8,0,0,0,1.0
0,0.15679665,57,0,0.108978204,5000.0,13,0,0,0,1.0
0,0.15292893,35,0,0.329023519,8120.0,10,0,1,0,0.0
0,0.16571414,77,0,0.538827528,5884.0,11,0,2,0,2.0
0,0.017509173,59,0,0.365119461,9500.0,8,0,2,0,0.0
0,0.261497739,31,0,0.626271333,5800.0,14,0,1,0,0.0
0,0.3277747,57,0,0.342742557,6482.0,12,0,1,0,1.0
0,0.013544705,65,0,18.0,,6,0,0,0,0.0
0,0.028938608,36,0,0.306267474,8583.0,9,0,1,0,1.0
0,0.003266449,61,0,0.044991002,1666.0,3,0,0,0,1.0
0,0.141971606,64,0,0.085728568,4000.0,2,0,0,0,0.0
0,0.004092833,38,0,2824.0,,7,0,1,0,0.0
0,0.065614748,48,1,1292.0,,7,0,2,0,
0,0.028019892,62,0,1.95241711,3950.0,7,0,1,0,0.0
1,0.991648041,26,1,0.093287948,9400.0,7,0,0,0,1.0
0,0.072429023,33,0,2654.0,,10,0,2,0,3.0
0,0.0,56,0,0.049112142,6250.0,12,0,0,0,1.0
0,0.30321742,38,0,0.105186902,3450.0,3,0,0,0,0.0
1,0.024080605,64,0,0.244777718,5600.0,6,0,1,0,0.0
0,0.015726796,51,0,2918.0,0.0,8,0,2,0,0.0
0,0.016821105,79,0,19.0,,4,0,0,0,0.0
1,0.629805975,51,4,0.581629944,3766.0,9,0,2,0,2.0
0,0.088878343,45,0,0.101492946,7300.0,6,0,0,0,0.0
0,0.12905524,33,0,0.704900377,1856.0,10,0,0,0,2.0
1,0.501424501,44,1,50.0,,1,0,0,0,0.0
0,0.622091206,44,0,0.639705882,4079.0,9,0,1,0,2.0
0,0.143043953,48,1,0.399016247,6708.0,7,0,1,0,0.0
0,0.0,79,0,0.0,,3,0,0,0,
0,0.805539815,71,0,0.319925599,4300.0,4,0,0,0,0.0
0,0.012554869,60,0,0.229070085,7333.0,9,0,1,0,0.0
0,0.0,31,2,0.267057569,1875.0,8,0,0,0,0.0
0,0.387588718,48,1,0.296555009,6298.0,10,0,1,0,2.0
0,0.026055258,58,0,41.0,,7,0,0,0,0.0
1,0.9999999,56,0,0.0,,0,1,0,0,0.0
0,0.01869776,54,0,0.409577363,5512.0,7,0,1,0,0.0
0,0.104544773,49,0,2135.0,,6,0,2,0,1.0
0,0.00028571,87,1,0.484378905,4000.0,12,0,1,0,0.0
0,0.058617116,37,0,0.361031948,20000.0,11,0,3,0,2.0
0,0.059481081,49,0,0.49519702,5100.0,6,0,3,0,2.0
0,0.481130657,48,0,1.37171418,2700.0,11,0,1,0,0.0
0,0.150330902,71,1,0.186180849,4500.0,10,0,1,0,0.0
0,0.0091951,29,0,0.001590548,4400.0,4,0,0,0,0.0
0,0.036322639,57,0,0.262691527,5416.0,7,0,1,0,2.0
0,0.742003972,40,1,0.572952087,6469.0,6,0,1,0,0.0
0,0.488333569,59,0,0.402596293,11708.0,12,0,2,0,0.0
0,0.0,67,0,1318.0,,5,0,1,0,0.0
0,0.631684206,50,0,0.288829635,10500.0,7,0,1,0,0.0
0,0.590264318,34,0,0.339088472,9324.0,12,0,2,0,1.0
0,0.143512528,46,0,0.005476118,6573.0,1,0,0,0,0.0
0,0.10551114,54,0,0.299077077,4008.0,16,0,1,0,3.0
0,0.9999999,70,0,0.185541278,10816.0,1,0,1,0,0.0
0,0.014061516,76,0,0.003428327,9333.0,3,0,0,0,0.0
0,0.555420957,56,2,0.411129373,4258.0,7,1,2,1,0.0
0,0.486612428,43,0,0.437166006,5800.0,8,0,1,0,2.0
0,0.067645737,53,0,3.352272727,1583.0,24,0,6,0,0.0
0,0.018533241,64,1,31.0,,4,0,0,0,
0,0.143376616,39,0,0.155995812,12416.0,10,0,2,0,0.0
0,0.82913034,29,0,4023.0,,10,0,1,0,0.0
0,0.057387692,52,0,0.225352113,2200.0,4,0,1,0,0.0
0,0.0,55,1,0.722670106,3100.0,16,0,2,0,0.0
1,0.925216534,36,4,0.847475006,3900.0,18,0,1,1,2.0
0,0.0,59,0,1366.0,,6,0,2,0,0.0
0,0.114839527,58,0,0.511494253,6089.0,10,0,1,0,0.0
0,0.0,61,0,5030.0,,8,0,1,0,
0,0.29788628,85,1,0.560523446,1833.0,14,0,1,0,0.0
0,0.9999999,25,0,82.0,,2,0,0,0,
0,0.0,58,0,0.596147774,3166.0,4,0,1,0,0.0
0,0.04964539,82,0,12.0,,1,0,0,0,
0,0.31556148,36,0,0.359017076,2400.0,4,0,0,0,2.0
0,0.020936565,26,0,0.525959368,3100.0,9,0,1,0,0.0
0,0.68333278,35,0,0.432816296,5350.0,12,0,1,0,0.0
0,0.9999999,34,98,0.010934083,3200.0,0,98,0,98,0.0
0,0.072189253,44,1,0.183504148,4097.0,6,0,0,0,2.0
0,0.013993476,58,0,1.335731415,1667.0,9,0,1,0,1.0
0,0.213545836,53,0,0.213866623,12100.0,14,0,2,0,2.0
