website,interview_difficulty,ceo_name,nb_c_jobs,company_description,registered_employer,benefits_below,similar_companies,acquired_by,founded,affiliated_company,nb_ratings_ceo,stars,nb_c_reviews_detailled,size,nb_c_interviews,friend_recommend,url,benefits_above,employer_id,revenue,headquarters,competitors,company_name,nb_c_salaries,awards,ceo_rating,type,industry,operated_by,headquarters_city,headquarters_state,nb_awards_after_2000,has_website,ticker
www.sadasystems.com,3.3,Tony Safoian,15.0,"SADA Systems, Inc. is a privately-held global leader in cloud computing solutions and IT consulting, developing innovative business solutions by implementing leading edge technology, processes and systems. SADA is a platform-neutral provider working closely with leaders in the cloud computing industry. SADA is a Microsoft GOLD Certified Partner and a Google Premier Enterprise Reseller focused on creating tools, methodologies, change management, and business transformation strategies.If you're looking to take your career to the next level, then SADA is the place for you! Our dedication to our clients and the community has resulted in some great accolades, including:· Inc. Magazine 5000 – America’s fastest growing companies 5 years straightRanked #1505 overall and #169 in the IT Industry· Los Angeles Business Journal Fastest Growing Private Company for 2012 – Ranked Top 20· CRN Magazine Fast 100 - Fastest Growing IT Services Companies 2010Learn more at www.sadasystems.com!",Engaged Employer,,,,2000.0,,19,4.2,31,50 to 149 Employees,11.0,81.0,"http://www.glassdoor.com/Overview/Working-at-SADA-Systems-EI_IE258619.11,23.htm",,258619,$25 to $50 million (USD) per year,"North Hollywood, CA",,SADA Systems,25.0,,89.0,Company - Private,Information Technology,,North Hollywood,CA,0.0,1,
www.zimbra.com,,Patrick Brandt,,,Unclaimed Profile,,"Telligent Systems,VMware,Intuit,Redbeacon,Oracle,Apple,Hewlett-Packard,Uber,Epic Systems Corporation,Dell",,2004.0,,2,4.5,11,150 to 499 Employees,1.0,100.0,"http://www.glassdoor.com/Overview/Working-at-Zimbra-EI_IE265761.11,17.htm",,265761,$25 to $50 million (USD) per year,"Frisco, TX",Unknown,Zimbra,5.0,,100.0,Company - Private,Information Technology,,Frisco,TX,0.0,1,
www.ethicalseoconsulting.com,,,,,Unclaimed Profile,,"Vector Marketing,Infinite Direct,AlliedBarton,Securitas Security Services USA,KellyMitchell Group,Mu Sigma,R.R. Donnelley,Ogilvy & Mather,Acosta,Epsilon,Pitney Bowes",,,,0,4.0,1,6 to 15 Employees,,100.0,"http://www.glassdoor.com/Overview/Working-at-Ethical-SEO-Consulting-EI_IE751006.11,33.htm",,751006,Unknown / Non-Applicable per year,"Parker, CO",Unknown,Ethical SEO Consulting,1.0,,,Contract,Business Services,,Parker,CO,0.0,1,
www.tctcost.com,,,,,Engaged Employer,,"Convergys,Vector Marketing,Infinite Direct,AlliedBarton,Securitas Security Services USA,KellyMitchell Group,Mu Sigma,R.R. Donnelley,Ogilvy & Mather,Acosta,Epsilon,Pitney Bowes",,,,0,3.7,3,6 to 15 Employees,,68.0,"http://www.glassdoor.com/Overview/Working-at-Toscano-Clements-Taylor-EI_IE286651.11,34.htm",,286651,$1 to $5 million (USD) per year,"Huntington, NY",Unknown,Toscano Clements Taylor,3.0,,,Company - Private,Business Services,,Huntington,NY,0.0,1,
www.spyderco.com,,Sal Glesser,,"Spyderco makes and sells knives, sharpeners, and accessories through retailers worldwide, as well as on the company's Web site. Its knives have a variety of straight and serrated edges for different uses from models for slicing dinner in the kitchen to knives for martial arts, fishing, and fire and rescue professionals. A number of Spyderco's models, including the C91 Pacific Salt, uses special H1 steel, manufactured in Japan, which does not rust and keeps its sharp edge. The company is owned and operated by the Glesser family.",Unclaimed Profile,,"Boa Technologies,Apple,Cisco Systems,Salesforce,Epic Systems Corporation",,,,1,4.0,1,16 to 50 Employees,,100.0,"http://www.glassdoor.com/Overview/Working-at-Spyderco-EI_IE14301.11,19.htm",,14301,$1 to $5 million (USD) per year,"Golden, CO","Victorinox Swiss Army,Buck Knives,W.R. Case & Sons Cutlery",Spyderco,1.0,,100.0,Company - Private,Information Technology,,Golden,CO,0.0,1,
www.tigercontrols.com,3.0,,,,Unclaimed Profile,,"Sysco,W.W. Grainger,Cardinal Health,US Foods,Coca-Cola Bottling Consolidated,Southern Wine & Spirits,Ferguson Enterprises,Manheim",,,,0,5.0,1,16 to 50 Employees,1.0,100.0,"http://www.glassdoor.com/Overview/Working-at-Tiger-Controls-EI_IE676894.11,25.htm",,676894,Unknown / Non-Applicable per year,"Greensboro, NC",Unknown,Tiger Controls,2.0,,,Company - Private,Business Services,,Greensboro,NC,0.0,1,
www.wsdot.wa.gov,3.2,Steve Reinmuth,,"If you're experiencing congestion, don't call the DOC, turn to the DOT. The Washington State Department of Transportation (WSDOT) constructs, maintains, runs, and regulates state-owned transportation facilities, including state highways, bridges, rail lines, and 16 state-owned airports. It also manages the Washington State Ferries, a system that boasts the largest fleet of passenger and auto ferries in the US. The government agency, which operates about a half dozen regional offices throughout the state, is led by a secretary and overseen by the governor. Washington funds state transportation expenses primarily with gas taxes and revenues from licenses, permits, and fees.",Unclaimed Profile,,"Washington State Department of Social and Health Services,State of Washington,Washington State Department of L & I,Amazon.com,Boeing,Washington Department of Health,Georgia Department of Behavioral Health and Developmental Disabilities (DBHDD),Commonwealth of Massachusetts,State of Oregon,State of Arizona,Commonwealth of Kentucky,State of Illinois",,1977.0,,6,3.6,23,5000+ Employees,7.0,78.0,"http://www.glassdoor.com/Overview/Working-at-Wsdot-EI_IE42883.11,16.htm",,42883,Unknown / Non-Applicable per year,"Olympia, WA",Unknown,Wsdot,38.0,,69.0,Government,Government,,Olympia,WA,0.0,1,
www.execquest.com,,Marion Spears Karr,,,Unclaimed Profile,,"Advantage Sales and Marketing,Aerotek,Insight Global,TeleTech,Beacon Hill Staffing Group,Ageatia Technology Consultancy Services,Paychex,SYKES,Leapforce",,,,0,3.9,2,6 to 15 Employees,,100.0,"http://www.glassdoor.com/Overview/Working-at-ExecQuest-Consulting-EI_IE297937.11,31.htm",,297937,Unknown / Non-Applicable per year,"Charlotte, NC",Unknown,ExecQuest Consulting,,,,Private Practice / Firm,Business Services,,Charlotte,NC,0.0,1,
www.petermark.ie,,,,,Unclaimed Profile,,"LA Fitness,Great Clips,European Wax Center,Hand and Stone Spa,Angie's List",,,,0,4.0,1,1000 to 5000 Employees,,100.0,"http://www.glassdoor.com/Overview/Working-at-Peter-Mark-EI_IE418915.11,21.htm",,418915,Unknown / Non-Applicable per year,"Dublin, Ireland",Unknown,Peter Mark,1.0,,,Company - Private,Consumer Services,,Dublin,Ireland,0.0,1,
www.lifoam.com,3.0,,,,Unclaimed Profile,,"Jarden,Stratasys,Goodyear,Michigan Talent Bank,Pentair,International Paper",,,,0,1.6,3,500 to 999 Employees,1.0,,"http://www.glassdoor.com/Overview/Working-at-Lifoam-Industries-EI_IE482737.11,28.htm",,482737,$25 to $50 million (USD) per year,"Hunt Valley, MD",Unknown,Lifoam Industries,1.0,,,Company - Public,Manufacturing,,Hunt Valley,MD,0.0,1,
www.seattlelighting.com,,,,,Unclaimed Profile,,"Nordstrom,Kohl's,J. C. Penney,Victoria's Secret Stores,Barnes & Noble,The Gap,Ross Stores,Safeway",,1996.0,,0,1.0,1,150 to 499 Employees,,,"http://www.glassdoor.com/Overview/Working-at-Dolan-Northwest-EI_IE264088.11,26.htm",,264088,$50 to $100 million (USD) per year,"Portland, OR",Unknown,Dolan Northwest,1.0,,,Company - Private,Retail,,Portland,OR,0.0,1,
www.janeinfotech.com,3.5,,,,Unclaimed Profile,,"Infosys,Collabera,Akamai,CACI International,CompuCom,Sapient",,,,0,5.0,2,16 to 50 Employees,2.0,100.0,"http://www.glassdoor.com/Overview/Working-at-Jane-Infotech-EI_IE439977.11,24.htm",,439977,Unknown / Non-Applicable per year,"Princeton, NJ",Unknown,Jane Infotech,1.0,,,Company - Private,Information Technology,,Princeton,NJ,0.0,1,
www.tracyreese.com,2.0,,,,Unclaimed Profile,,"NIKE,Procter & Gamble,Polo Ralph Lauren,Under Armour,Nestlé Purina PetCare,Michael Kors,GoPro",,,,0,2.7,3,16 to 50 Employees,2.0,47.0,"http://www.glassdoor.com/Overview/Working-at-Tracy-Reese-EI_IE676271.11,22.htm",,676271,$1 to $5 million (USD) per year,"New York, NY",Unknown,Tracy Reese,10.0,,,Company - Private,Manufacturing,,New York,NY,0.0,1,
www.cbiberkeley.org,,Rabbi Yair Silverman,,,Unclaimed Profile,,"InvenSense,Corning,Micron Technology,Flextronics",,,,0,5.0,1,Unknown,,100.0,"http://www.glassdoor.com/Overview/Working-at-Congregation-Beth-Israel-EI_IE262886.11,35.htm",,262886,Less than $1 million (USD) per year,"Berkeley, CA",Unknown,Congregation Beth Israel,3.0,,,Company - Private,Manufacturing,,Berkeley,CA,0.0,1,
www.rovia.com,,,,,Unclaimed Profile,,"WorldVentures,Booking.com,Norwegian Cruise Line,BCD Travel,World Travel Holdings,Flight Centre,Carlson Wagonlit Travel,MakeMyTrip,Accor Hotels,Liberty Travel,WorldVentures,Vantage Deluxe World Travel",,,,0,2.3,3,150 to 499 Employees,,33.0,"http://www.glassdoor.com/Overview/Working-at-Rovia-EI_IE734577.11,16.htm",,734577,Unknown / Non-Applicable per year,"Plano, TX",Unknown,Rovia,2.0,,,Subsidiary or Business Segment,Travel & Tourism,,Plano,TX,0.0,1,
www.cnmcs.com,3.0,,,,Unclaimed Profile,,"Quicken Loans,Discover,TitleMax,Santander Consumer USA,TMX Finance,Advance America,GM Financial,Enova,SunAmerica Affordable Housing Partners",,,,0,2.5,2,1 to 5 Employees,1.0,,"http://www.glassdoor.com/Overview/Working-at-Colonial-National-Mortgage-EI_IE736794.11,37.htm",,736794,Less than $1 million (USD) per year,"Oklahoma City, OK",Unknown,Colonial National Mortgage,1.0,,,Contract,Finance,,Oklahoma City,OK,0.0,1,
www.soundviewhealth.net,,,,,Unclaimed Profile,,"Johnson & Johnson,Genentech,Pfizer,Gilead Sciences,Medtronic,Thermo Fisher Scientific,Quintiles,GlaxoSmithKline,Amgen,Regeneron Pharmaceuticals",,1978.0,,0,1.0,1,50 to 149 Employees,,,"http://www.glassdoor.com/Overview/Working-at-Comprehensive-Community-Development-EI_IE264783.11,46.htm",,264783,$5 to $10 million (USD) per year,"Bronx, NY",Unknown,Comprehensive Community Development,2.0,,,Company - Private,Biotech & Pharmaceuticals,,Bronx,NY,0.0,1,
www.mcmelegante.com,,,,,Unclaimed Profile,,"Marriott,MGM Resorts International,InterContinental Hotels Group,Omni Hotels",,,,0,2.0,1,Unknown,,,"http://www.glassdoor.com/Overview/Working-at-MCM-Hotels-EI_IE402340.11,21.htm",,402340,Unknown / Non-Applicable per year,"Odessa, TX",Unknown,MCM Hotels,,,,Company - Private,Travel & Tourism,,Odessa,TX,0.0,1,
,,,,,Unclaimed Profile,,"Vector Marketing,Infinite Direct,AlliedBarton,Securitas Security Services USA,KellyMitchell Group,Mu Sigma,R.R. Donnelley,Ogilvy & Mather,Acosta,Epsilon,Pitney Bowes",,,,0,4.0,1,Unknown,,,"http://www.glassdoor.com/Overview/Working-at-Expovision-EI_IE115632.11,21.htm",,115632,Unknown / Non-Applicable per year,,Unknown,Expovision,,,,Company - Private,Business Services,,,,0.0,0,
www.gmiweb.com,3.0,,,,Engaged Employer,,"GMI,Universal Protection Service,Vivint,Tyco,U.S. Security Associates,GEO Group,Detector Electronics,Dunbar Armored",,,,0,2.8,6,500 to 999 Employees,1.0,82.0,"http://www.glassdoor.com/Overview/Working-at-GMI-Integrated-Facility-Solutions-EI_IE674124.11,44.htm",,674124,$10 to $25 million (USD) per year,"San Diego, CA",Unknown,"GMI, Integrated Facility Solutions",3.0,,,Company - Private,Business Services,,San Diego,CA,0.0,1,
www.greenriver.edu,3.0,,,,Unclaimed Profile,,"University of Washington,Amazon.com,Life Time Fitness,Stanford University,NYU (New York University),Columbia University,ITT Technical Institute,University of Washington,Western Governors University,University of Southern California,University of North Carolina,Grand Canyon University",,,,0,3.6,17,1000 to 5000 Employees,3.0,79.0,"http://www.glassdoor.com/Overview/Working-at-Green-River-Community-College-EI_IE129707.11,40.htm",,129707,Less than $1 million (USD) per year,"Auburn, WA",Unknown,Green River Community College,11.0,,,College / University,Education,,Auburn,WA,0.0,1,
www.bethanybaptistws.com,,,,,Unclaimed Profile,,"Archdiocese of St Louis,The Bair Foundation,Focus on the Family",,,,0,5.0,1,6 to 15 Employees,,100.0,"http://www.glassdoor.com/Overview/Working-at-Bethany-Baptist-Church-EI_IE655730.11,33.htm",,655730,Less than $1 million (USD) per year,"Winston Salem, NC",Unknown,Bethany Baptist Church,,,,Company - Private,Non-Profit,,Winston Salem,NC,0.0,1,
www.huschblackwell.com,2.7,Gregory Smith,,"Law firm Husch Blackwell focuses on litigation and business services. Within those broad areas, the firm maintains practices such as commercial transactions, environmental, intellectual property, labor and employment, mergers and acquisitions, and real estate. Overall, it has about 600 lawyers in more than a dozen offices, mainly in the midwestern US but also in Washington, DC, and in London. Husch Blackwell was formed in 2008 when Kansas City-based Blackwell Sanders merged with St. Louis-based Husch & Eppenberger. The firm has two headquarters based in Kansas City and St. Louis.",Unclaimed Profile,,"Bryan Cave,Polsinelli Shughart,Thompson Coburn,Shook Hardy & Bacon,Armstrong Teasdale,Stinson Morrison Hecker,Lathrop & Gage,Greensfelder, Hemker & Gale, P.C.,Sandberg Phoenix & Von Gontard,Brown & James, PC,Edward Jones,Express Scripts",,,,2,2.6,16,1000 to 5000 Employees,3.0,31.0,"http://www.glassdoor.com/Overview/Working-at-Husch-Blackwell-EI_IE28391.11,26.htm",,28391,$50 to $100 million (USD) per year,"Kansas City, MO","Bryan Cave,Mayer Brown,Shook Hardy & Bacon",Husch Blackwell,23.0,"Best Places to Work for LGBT Equality,Human Rights Campaign,2010",100.0,Company - Private,Accounting & Legal,,Kansas City,MO,1.0,1,
www.curranberger.com,,Joseph Curran,,,Unclaimed Profile,,"Kirkland & Ellis,Ropes & Gray,Sidley Austin,Greenberg Traurig,Perkins Coie,Jones Day,Morgan Lewis",,,,0,4.4,2,16 to 50 Employees,,100.0,"http://www.glassdoor.com/Overview/Working-at-Curran-and-Berger-EI_IE660929.11,28.htm",,660929,Unknown / Non-Applicable per year,"Northampton, MA",Unknown,Curran & Berger,3.0,,,Company - Private,Accounting & Legal,,Northampton,MA,0.0,1,
www.hayscompanies.com,3.0,Jim Hays,,"Hays Companies is one of the fastest growing risk management, insurance and employee benefits advisors in the country. Our philosophy of delivering the highest-quality, customer-focused service has led to significant growth for Hays. Today the company includes approximately 700+ experienced professionals in more than 35 locations throughout the United States. Business Insurance ranked Hays Companies as the 18th largest insurance broker in the U.S.",Engaged Employer,,"Arthur J. Gallagher & Co.,Hays plc,Marsh & McLennan Companies,Lockton Companies,UnitedHealth Group,Towers Watson,Hay Group,Wells Fargo,Aon,Willis,Target,US Health Advisors",,1994.0,,16,4.4,20,500 to 999 Employees,2.0,84.0,"http://www.glassdoor.com/Overview/Working-at-Hays-Companies-EI_IE28973.11,25.htm",,28973,Unknown / Non-Applicable,"Minneapolis, MN",Unknown,Hays Companies,12.0,"Top Workplaces - Small,Milwaukee Journal Sentinel,2014,100 Largest U.S. Brokers,Business Insurance Magazine,2014",94.0,Company - Private,Insurance,,Minneapolis,MN,2.0,1,
www.orangeahrc.org,,,,,Unclaimed Profile,,"AHRC New York City,AHRC Nassau,Learning Care Group,Knowledge Universe,Houston ISD,Childtime Learning Center,Baltimore County Public Schools",,,,0,1.0,2,150 to 499 Employees,,,"http://www.glassdoor.com/Overview/Working-at-AHRC-EI_IE820529.11,15.htm",,820529,Unknown / Non-Applicable per year,"Newburgh, NY",Unknown,AHRC,1.0,,,Nonprofit Organization,Education,,Newburgh,NY,0.0,1,
www.morrelyonsjlrs.com,3.0,,,,Unclaimed Profile,,"Chloe + Isabel,Sally Beauty,Birchbox",,,,0,5.0,1,6 to 15 Employees,1.0,100.0,"http://www.glassdoor.com/Overview/Working-at-Morre-Lyons-EI_IE927420.11,22.htm",,927420,Unknown / Non-Applicable per year,"Clifton, NJ",Unknown,Morre Lyons,,,,Company - Private,Retail,,Clifton,NJ,0.0,1,
,,,,,Unclaimed Profile,,"Georgia Department of Behavioral Health and Developmental Disabilities (DBHDD),Commonwealth of Massachusetts,State of Oregon,State of Arizona,Commonwealth of Kentucky,State of Illinois,New York Court System",,,,0,4.5,2,50 to 149 Employees,,100.0,"http://www.glassdoor.com/Overview/Working-at-SETRPC-EI_IE654376.11,17.htm",,654376,Unknown / Non-Applicable per year,,Unknown,SETRPC,1.0,,,Government,Government,,,,0.0,0,
www.capsher.com,2.8,Kay Capps,,,Unclaimed Profile,,"FrogSlayer,Reynolds and Reynolds,Texas A&M,Apple,Cisco Systems,Uber,Salesforce,Epic Systems Corporation,VMware",,1994.0,,5,4.1,8,16 to 50 Employees,7.0,87.0,"http://www.glassdoor.com/Overview/Working-at-CAPSHER-Technology-Inc-EI_IE221332.11,33.htm",,221332,$1 to $5 million (USD) per year,"College Station, TX",Unknown,"CAPSHER Technology, Inc.",11.0,"Best Companies to Work For in Texas (Small),Best Companies Group,2012,Best Companies to Work for in Texas (Small),Best Companies Group,2010",82.0,Company - Private,Information Technology,,College Station,TX,2.0,1,
www.dogandrooster.com,,Jack Jung,,,Engaged Employer,,"Collabera,Akamai,CACI International,Tech Mahindra,CompuCom,Sapient",,2010.0,,4,4.1,4,6 to 15 Employees,,78.0,"http://www.glassdoor.com/Overview/Working-at-Dog-and-Rooster-EI_IE855394.11,26.htm",,855394,Unknown / Non-Applicable,"San Francisco, CA",Unknown,Dog and Rooster,,,78.0,Company - Private,Information Technology,,San Francisco,CA,0.0,1,
www.skyebankng.com,3.0,,,,Unclaimed Profile,,"SunTrust,M&T Bank",,,,0,3.9,4,1000 to 5000 Employees,1.0,62.0,"http://www.glassdoor.com/Overview/Working-at-Skye-Bank-EI_IE584132.11,20.htm",,584132,Unknown / Non-Applicable per year,"Lagos, Nigeria",Unknown,Skye Bank,1.0,,,Company - Public,Finance,,Lagos,Nigeria,0.0,1,
www.socialwellth.com,,David Vinson,,,Unclaimed Profile,,"Amazon.com,Facebook,LinkedIn,Twitter,Yahoo,Yelp,Expedia",,,,1,1.5,2,16 to 50 Employees,,,"http://www.glassdoor.com/Overview/Working-at-SocialWellth-EI_IE857713.11,23.htm",,857713,Unknown / Non-Applicable per year,"Las Vegas, NV",Unknown,SocialWellth,1.0,,,Company - Private,Information Technology,,Las Vegas,NV,0.0,1,
www.parkerpoe.com,,Thomas N. Griffin III,,,Unclaimed Profile,,"Razorfish,KBR,RGP",,1953.0,,2,3.9,7,150 to 499 Employees,,61.0,"http://www.glassdoor.com/Overview/Working-at-Parker-Poe-EI_IE118945.11,21.htm",,118945,$25 to $50 million (USD) per year,"Charlotte, NC",Unknown,Parker Poe,6.0,,100.0,Company - Private,Accounting & Legal,,Charlotte,NC,0.0,1,
www.strandsofbeauty.com,,,,,Unclaimed Profile,,"LA Fitness,Great Clips,European Wax Center,Hand and Stone Spa,Angie's List",,,,0,4.0,1,6 to 15 Employees,,100.0,"http://www.glassdoor.com/Overview/Working-at-Strands-of-Beauty-EI_IE655437.11,28.htm",,655437,Unknown / Non-Applicable per year,"Atlanta, GA",Unknown,Strands of Beauty,,,,Company - Private,Consumer Services,,Atlanta,GA,0.0,1,
www.westernalliancebank.com,3.0,Robert G. Sarver,,"The allies behind holding company Western Alliance Bancorporation are Western Alliance Bank (which operates as Alliance Bank of Arizona and First Independent Bank of Nevada), Las Vegas-based Bank of Nevada, and Torrey Pines Bank, which is active throughout California. Together the banks operate about 40 branches. Serving local businesses, real estate developers and investors, not-for-profit organizations, and consumers, the banks provide standard deposit products, such as checking, savings, and money market accounts and CDs. Loans to businesses, including real estate mortgages, commercial and industrial loans, and construction and land development loans, dominate the banks' lending activities.",Engaged Employer,,"Alliance Bank,Bank of Nevada,Wells Fargo,Bank of America,U.S. Bank,Apple,SunTrust,M&T Bank",,1995.0,,6,1.7,10,1000 to 5000 Employees,2.0,39.0,"http://www.glassdoor.com/Overview/Working-at-Western-Alliance-Bank-EI_IE38157.11,32.htm",,38157,$100 to $500 million (USD) per year,"Phoenix, AZ","BancWest,Zions Bancorporation,Wells Fargo",Western Alliance Bank,8.0,,69.0,Company - Public with Ticker,Finance,,Phoenix,AZ,0.0,1,WAL
